Basis of record	Data origin	Institution	Catalogue number	Scientific name	Latitude	Longitude	Country	Department/State/Province	Municipality	Site	Observation	References
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 59788	"Caluromys lanatus (Olfers, 1818)"	-12.517	-68.7	Perú	Madre de Dios	Tambopata			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 62237	"Caluromys lanatus (Olfers, 1818)"	-12.838	-69.295	Perú	Madre de Dios	Tambopata			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 52004	"Caluromys lanatus (Olfers, 1818)"	3.25	-59.25	Guyana	Upper Takutu-Upper Essequibo	Rest of Region 9			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 27175	"Caluromys lanatus (Olfers, 1818)"	-3.917	-78.433	Perú	Amazonas	Condorcanqui			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 26962	"Caluromys lanatus (Olfers, 1818)"	-10.667	-66.85	Bolivia	Pando	Federico Román			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 12801	"Caluromys lanatus (Olfers, 1818)"	-4.283	-78.633	Ecuador	Zamora Chinchipe	Nangaritza			GBIF.org
HUMAN_OBSERVATION	Database	Conservación Internacional	Conservation International 6387	"Caluromys lanatus (Olfers, 1818)"	-10.767	-66.733	Bolivia	Pando	Federico Román			GBIF.org
PRESERVED_SPECIMEN	Database	Louisiana State University Museum of Natural Science	LSUMZ 28420	"Caluromys lanatus (Olfers, 1818)"	-6.353	-76.3	Perú	San Martí­n	Lamas			GBIF.org
PRESERVED_SPECIMEN	Database	Louisiana State University Museum of Natural Science	"LSUMZ 21880, 21881"	"Caluromys lanatus (Olfers, 1818)"	-5.635	-78.531	Perú	Amazonas	Bagua			GBIF.org
PRESERVED_SPECIMEN	Database	Louisiana State University Museum of Natural Science	"LSUMZ 14025, 16400"	"Caluromys lanatus (Olfers, 1818)"	-10.133	-71.217	Perú	Ucayali	Purús			GBIF.org
PRESERVED_SPECIMEN	Database	Louisiana State University Museum of Natural Science	"LSUMZ 14023, 14024"	"Caluromys lanatus (Olfers, 1818)"	-8.25	-74.717	Perú	Ucayali	Coronel Portillo			GBIF.org
PRESERVED_SPECIMEN	Database	Louisiana State University Museum of Natural Science	LSUMZ 8892	"Caluromys lanatus (Olfers, 1818)"	-8.383	-74.533	Perú	Ucayali	Coronel Portillo			GBIF.org
PRESERVED_SPECIMEN	Database	Instituto de Ciencias Naturales de la Universidad Nacional de Colombia	ICN 11632	"Caluromys lanatus (Olfers, 1818)"	2.97618	-73.6742	Colombia	Meta	Vistahermosa	"Meta, Municipio de Vistahermosa."		GBIF.org
PRESERVED_SPECIMEN	Database	Field Museum of Natural History	FMNH 140237	"Caluromys lanatus (Olfers, 1818)"	8	-73	Colombia	Norte de Santander		Sarcuta		GBIF.org
PRESERVED_SPECIMEN	Database	Field Museum of Natural History		"Caluromys lanatus (Olfers, 1818)"	7.8805	-72.50179	Colombia	Norte de Santander		Sarcuta		GBIF.org
PRESERVED_SPECIMEN	Database	"Museum of Vertebrate Zoology, University of California, Berkeley"	MVZ:Mamm:193427	"Caluromys lanatus (Olfers, 1818)"	-6.58333	-68.9	Brazil	Amazonas	Itamarati			GBIF.org
PRESERVED_SPECIMEN	Database	"Museum of Vertebrate Zoology, University of California, Berkeley"	MVZ:Mamm:193428	"Caluromys lanatus (Olfers, 1818)"	-3.31667	-66	Brazil	Amazonas	Juruí			GBIF.org
PRESERVED_SPECIMEN	Database	"Administración de Parques Nacionales, Argentina"	APN-AR APN-IG-2969	"Caluromys lanatus (Olfers, 1818)"	-25.67939	-54.44575	Argentina	Iguazú				GBIF.org
